species,taxid,prior_weights
Acinetobacter baumannii,470,0.00047619
Schaalia odontolytica,1660,0.00047619
Bacillus cereus,1396,0.00047619
Phocaeicola vulgatus,821,0.00047619
Clostridium beijerinckii,1520,0.00047619
Deinococcus radiodurans,1299,0.00047619
Enterococcus faecalis,1351,0.00047619
Escherichia coli,562,0.00047619
Helicobacter pylori,210,0.00047619
Lactobacillus gasseri,1596,0.00047619
Listeria monocytogenes,1639,0.00047619
Neisseria meningitidis,487,0.00047619
Porphyromonas gingivalis,837,0.00047619
Cutibacterium acnes,1747,0.00047619
Pseudomonas aeruginosa,287,0.00047619
Cereibacter sphaeroides,1063,0.00047619
Staphylococcus aureus,1280,0.00047619
Staphylococcus epidermidis,1282,0.00047619
Streptococcus agalactiae,1311,0.00047619
Streptococcus mutans,1309,0.00047619
Streptococcus pneumoniae,1313,0.00047619
